CLASS,Level,SKILL_NAME,"Silver Oaks International School Kommadi, Visakhapatnam",National Average
3,,Arithmetic operations: addition and subtraction,55.5555666667,54.168165040094785
3,,Arithmetic operations: multiplication,57.7778066667,58.48606340894569
3,Analytical Skill,"Applications in daily life: money, time, calendar, length etc.",34.2222,46.45395399108045
3,Analytical Skill,Applications in daily life: word/visual problems,30.3703466667,47.73073648292727
3,Analytical Skill,Problem solving: advanced or challenging problems,41.77778,43.192106775346936
3,Core Skill,Basic shapes and geometry,25.33334,53.759893924906756
3,Core Skill,"Number sense, related concepts and basic number competency",59.9999933333,53.11430170172508
4,,Arithmetic operations: addition and subtraction,44.2857,48.68284044945626
4,,Arithmetic operations: multiplication and division,40.17855,51.308242997598576
4,Analytical Skill,"Applications in daily life: money, time, calendar, length etc.",35.7143,49.02011023879426
4,Analytical Skill,Applications in daily life: word/visual problems,35.7143,46.316687183731545
4,Analytical Skill,Measurement and data interpretation,42.8571,51.42458996641509
4,Analytical Skill,Problem solving: advanced or challenging problems,23.57145,41.76622779628963
4,Core Skill,Basic shapes and geometry,37.14285,50.45299977276074
4,Core Skill,Fractions: concepts and applications,41.66665,44.40973872326438
4,Core Skill,"Number sense, related concepts and basic number competency",59.82145,48.616707038193155
5,Analytical Skill,"Applications in daily life: money, time, calendar, length etc.",38.4614974359,45.715213064128775
5,Analytical Skill,Applications in daily life: word/visual problems,41.5384615385,44.94580012453758
5,Analytical Skill,Measurement and data interpretation,61.0256282051,48.61780920285197
5,Analytical Skill,Problem solving: advanced or challenging problems,57.4358974359,42.376897045434475
5,Core Skill,"Arithmetic operations: four basic operations, properties",45.1281948718,47.231936978050335
5,Core Skill,Basic shapes and geometry,40.5128358974,50.26588451898463
5,Core Skill,Fractions: concepts and applications,52.5641179487,40.397873702712374
5,Core Skill,"Number sense, related concepts and basic number competency",54.8718128205,46.2582219640555
6,Analytical Skill,Applications in daily life: word/visual problems,34.7368368421,42.721189276706454
6,Analytical Skill,Area and perimeter: concepts and computations,30.7017789474,40.152113969628786
6,Analytical Skill,Measurement and data interpretation,46.3158,48.05392271524651
6,Analytical Skill,Problem solving: advanced or challenging problems,22.1052789474,36.386912170019606
6,Core Skill,"Arithmetic operations: four basic operations, properties",33.6842,45.11294204518107
6,Core Skill,Factors and multiples,27.1929736842,43.11278180892906
6,Core Skill,"Fractions and decimals: concepts, use and conversions",42.1052578947,38.623779369207035
6,Core Skill,Geometry: concepts and applications,57.0175421053,47.30405875568669
6,Core Skill,"Number sense, related concepts and basic number competency",41.2280736842,45.12510815222006
6,Core Skill,Pre-algebra and algebra skills,49.1228105263,49.20646785331643
7,Analytical Skill,Algebra: concepts and applications,53.3333,42.434414451544825
7,Analytical Skill,Applications in daily life: word/visual problems,38,39.63939630855037
7,Analytical Skill,Measurement and data interpretation,53.33335,48.52428723654211
7,Analytical Skill,Problem solving: advanced or challenging problems,42,37.40843669052444
7,Core Skill,Factors and multiples,24.44445,41.532883351860654
7,Core Skill,"Fractions, decimals and ratios: concepts and applications",47.3333,40.08854622025632
7,Core Skill,Geometry: concepts and applications,47.7778,48.56385248748267
7,Core Skill,Integers: concepts and applications,67.7778,48.9261296054077
7,Core Skill,"Mensuration: area and perimeter; concepts, computation",39.3333,37.24721472090916
7,Core Skill,"Number sense, related competency and computation skills",41.3333,42.71702427632181
8,Analytical Skill,Algebra: concepts and applications,28.4211,42.89172792043615
8,Analytical Skill,Applications in daily life: word/visual problems,21.0526,41.55454002931388
8,Analytical Skill,"Data interpretation/analysis: concept of averages, graph reading, etc.",54.386,42.71007955756743
8,Analytical Skill,Problem solving: advanced or challenging problems,32.6316,37.84951486612606
8,Core Skill,"Fractions, decimals, ratios and percentages: applications",30.5263,43.49246008447583
8,Core Skill,Geometry: concepts and applications,30.2632,40.33998801110653
8,Core Skill,"Integers and rational numbers, powers and bases",27.3684,42.474545612384055
8,Core Skill,Mensuration: area and perimeter; volume,14.7368,36.47058533121149
8,Core Skill,"Number sense, related competency and computation skills",40.3509,38.772168352074026
